,,,                                         Sliding windows,,,,,,,
-9,-6,-10,-10,-10,-15,-17,-12,-11,-10,3
-6,-10,-10,-10,-15,-17,-12,-11,-10,3,5
-10,-10,-10,-15,-17,-12,-11,-10,3,3,7
-10,-10,-15,-17,-12,-11,-10,3,3,7,15
-10,-15,-17,-12,-11,-10,3,3,7,15,15
-15,-17,-12,-11,-10,3,3,7,15,15,12
-17,-12,-11,-10,3,3,7,15,15,12,8
-12,-11,-10,3,3,7,15,15,12,8,16
-11,-10,3,3,7,15,15,12,8,16,17
-10,3,3,7,15,15,12,8,16,17,27
3,3,7,15,15,12,8,16,17,27,7
3,7,15,15,12,8,16,17,27,7,4
7,15,15,12,8,16,17,27,7,4,-6
15,15,12,8,16,17,27,7,4,-6,-10
15,12,8,16,17,27,7,4,-6,-10,-13
12,8,16,17,27,7,4,-6,-10,-13,-17
8,16,17,27,7,4,-6,-10,-13,-17,-10
16,17,27,7,4,-6,-10,-13,-17,-10,-10
17,27,7,4,-6,-10,-13,-17,-10,-10,-10
27,7,4,-6,-10,-13,-17,-10,-10,-10,-10
7,4,-6,-10,-13,-17,-10,-10,-10,-10,-10
4,-6,-10,-13,-17,-10,-10,-10,-10,-10,1
-6,-10,-13,-17,-10,-10,-10,-10,-10,1,9
-10,-13,-17,-10,-10,-10,-10,-10,1,9,10
-13,-17,-10,-10,-10,-10,-10,1,9,10,20
-17,-10,-10,-10,-10,-10,1,9,10,20,40
-10,-10,-10,-10,-10,1,9,10,20,40,20
-10,-10,-10,-10,1,9,10,20,40,20,20
-10,-10,-10,1,9,10,20,40,20,20,5
-10,-10,1,9,10,20,40,20,20,5,5
-10,1,9,10,20,40,20,20,5,5,2
1,9,10,20,40,20,20,5,5,2,1
9,10,20,40,20,20,5,5,2,1,-4
10,20,40,20,20,5,5,2,1,-4,-2
20,40,20,20,5,5,2,1,-4,-2,-2
40,20,20,5,5,2,1,-4,-2,-2,-11
20,20,5,5,2,1,-4,-2,-2,-11,-14
20,5,5,2,1,-4,-2,-2,-11,-14,-15
5,5,2,1,-4,-2,-2,-11,-14,-15,-15
5,2,1,-4,-2,-2,-11,-14,-15,-15,-9
2,1,-4,-2,-2,-11,-14,-15,-15,-9,-6
1,-4,-2,-2,-11,-14,-15,-15,-9,-6,-10
-4,-2,-2,-11,-14,-15,-15,-9,-6,-10,-10
-2,-2,-11,-14,-15,-15,-9,-6,-10,-10,-10
-2,-11,-14,-15,-15,-9,-6,-10,-10,-10,-15
-11,-14,-15,-15,-9,-6,-10,-10,-10,-15,-17
-14,-15,-15,-9,-6,-10,-10,-10,-15,-17,-12
-15,-15,-9,-6,-10,-10,-10,-15,-17,-12,-11
-15,-9,-6,-10,-10,-10,-15,-17,-12,-11,-10
-9,-6,-10,-10,-10,-15,-17,-12,-11,-10,3
