x    ,  y    ,  z
-0.5,-0.5,0.08242369799999949
-0.5,-0.49,0.07134837400000005
-0.5,-0.48,0.06001627600000026
-0.5,-0.47,0.04846818200000058
-0.5,-0.45999999999999996,0.03674565599999946
-0.5,-0.44999999999999996,0.024890883999999946
-0.5,-0.43999999999999995,0.012946533999999676
-0.5,-0.42999999999999994,9.555879999993966E-4
-0.5,-0.41999999999999993,-0.011038795999999684
-0.5,-0.4099999999999999,-0.022993452000000025
-0.5,-0.3999999999999999,-0.03486535600000029
-0.5,-0.3899999999999999,-0.046611783999999545
-0.5,-0.3799999999999999,-0.058190458
-0.5,-0.3700000000000001,-0.06955971000000005
-0.5,-0.3600000000000001,-0.08067862200000064
-0.5,-0.3500000000000001,-0.09150717800000052
-0.5,-0.3400000000000001,-0.10200640799999972
-0.5,-0.33000000000000007,-0.11213852399999946
-0.5,-0.32000000000000006,-0.12186706399999991
-0.5,-0.31000000000000005,-0.13115701199999985
-0.5,-0.30000000000000004,-0.13997493800000027
-0.5,-0.29000000000000004,-0.14828910399999984
-0.5,-0.28,-0.15606958999999987
-0.5,-0.27,-0.16328839399999995
-0.5,-0.26,-0.16991953600000043
-0.5,-0.25,-0.17593915199999943
-0.5,-0.24,-0.18132557600000043
-0.5,-0.22999999999999998,-0.18605942399999975
-0.5,-0.21999999999999997,-0.19012366000000047
-0.5,-0.20999999999999996,-0.19350365399999991
-0.5,-0.19999999999999996,-0.19618724599999948
-0.5,-0.18999999999999995,-0.198164774
-0.5,-0.17999999999999994,-0.19942912399999957
-0.5,-0.16999999999999993,-0.19997574399999962
-0.5,-0.15999999999999992,-0.19980266799999957
-0.5,-0.1499999999999999,-0.1989105179999996
-0.5,-0.1399999999999999,-0.1973025039999996
-0.5,-0.1299999999999999,-0.19498441399999966
-0.5,-0.1200000000000001,-0.19196459199999938
-0.5,-0.1100000000000001,-0.18825390399999975
-0.5,-0.10000000000000009,-0.1838657060000003
-0.5,-0.09000000000000008,-0.17881578799999998
-0.5,-0.08000000000000007,-0.1731223279999995
-0.5,-0.07000000000000006,-0.16680581399999994
-0.5,-0.06000000000000005,-0.15988897999999951
-0.5,-0.050000000000000044,-0.15239671599999982
-0.5,-0.040000000000000036,-0.14435598999999966
-0.5,-0.030000000000000027,-0.1357957400000004
-0.5,-0.020000000000000018,-0.1267467699999998
-0.5,-0.010000000000000009,-0.11724164799999959
-0.5,0.0,-0.10731458399999949
-0.49,-0.5,0.07134837400000005
-0.49,-0.49,0.05993995799999974
-0.49,-0.48,0.04831293600000075
-0.49,-0.47,0.03650971400000036
-0.49,-0.45999999999999996,0.024573340000000554
-0.49,-0.44999999999999996,0.012547345999999404
-0.49,-0.43999999999999995,4.7559199999946955E-4
-0.49,-0.42999999999999994,-0.01159789799999944
-0.49,-0.41999999999999993,-0.02362909000000002
-0.49,-0.4099999999999999,-0.03557410399999983
-0.49,-0.3999999999999999,-0.04738937799999976
-0.49,-0.3899999999999999,-0.05903182200000001
-0.49,-0.3799999999999999,-0.07045897200000018
-0.49,-0.3700000000000001,-0.08162915599999965
-0.49,-0.3600000000000001,-0.09250163199999972
-0.49,-0.3500000000000001,-0.10303675199999984
-0.49,-0.3400000000000001,-0.11319609199999969
-0.49,-0.33000000000000007,-0.12294259800000018
-0.49,-0.32000000000000006,-0.1322407279999993
-0.49,-0.31000000000000005,-0.14105656800000044
-0.49,-0.30000000000000004,-0.14935796799999967
-0.49,-0.29000000000000004,-0.15711465199999997
-0.49,-0.28,-0.16429833199999988
-0.49,-0.27,-0.17088280600000016
-0.49,-0.26,-0.1768440620000007
-0.49,-0.25,-0.1821603580000002
-0.49,-0.24,-0.18681230800000037
-0.49,-0.22999999999999998,-0.1907829419999999
-0.49,-0.21999999999999997,-0.19405778200000012
-0.49,-0.20999999999999996,-0.1966248820000004
-0.49,-0.19999999999999996,-0.1984748819999993
-0.49,-0.18999999999999995,-0.19960103399999984
-0.49,-0.17999999999999994,-0.1999992300000002
-0.49,-0.16999999999999993,-0.19966802000000006
-0.49,-0.15999999999999992,-0.1986086099999994
-0.49,-0.1499999999999999,-0.19682486399999988
-0.49,-0.1399999999999999,-0.19432328799999965
