Word1,Word2,Word3,Target1,Target2,Target3,Target4,Target5
-1,-0.966101695,-0.93220339,1,-1,-1,-1,-1
-1,-0.93220339,-0.966101695,1,-1,-1,-1,-1
-0.966101695,-1,-0.93220339,1,-1,-1,-1,-1
-0.966101695,-0.93220339,-1,1,-1,-1,-1,-1
-0.93220339,-1,-0.966101695,1,-1,-1,-1,-1
-0.93220339,-0.966101695,-1,1,-1,-1,-1,-1
-0.898305085,-0.86440678,-0.830508475,-1,1,-1,-1,-1
-0.898305085,-0.830508475,-0.86440678,-1,1,-1,-1,-1
-0.86440678,-0.898305085,-0.830508475,-1,1,-1,-1,-1
-0.86440678,-0.830508475,-0.898305085,-1,1,-1,-1,-1
-0.830508475,-0.898305085,-0.86440678,-1,1,-1,-1,-1
-0.830508475,-0.86440678,-0.898305085,-1,1,-1,-1,-1
-0.796610169,-0.762711864,-0.728813559,-1,-1,1,-1,-1
-0.796610169,-0.728813559,-0.762711864,-1,-1,1,-1,-1
-0.762711864,-0.796610169,-0.728813559,-1,-1,1,-1,-1
-0.762711864,-0.728813559,-0.796610169,-1,-1,1,-1,-1
-0.728813559,-0.796610169,-0.762711864,-1,-1,1,-1,-1
-0.728813559,-0.762711864,-0.796610169,-1,-1,1,-1,-1
-0.694915254,-0.661016949,-0.627118644,-1,-1,-1,1,-1
-0.694915254,-0.627118644,-0.661016949,-1,-1,-1,1,-1
-0.661016949,-0.694915254,-0.627118644,-1,-1,-1,1,-1
-0.661016949,-0.627118644,-0.694915254,-1,-1,-1,1,-1
-0.627118644,-0.694915254,-0.661016949,-1,-1,-1,1,-1
-0.627118644,-0.661016949,-0.694915254,-1,-1,-1,1,-1
-0.593220339,-0.559322034,-0.525423729,-1,-1,-1,-1,1
-0.593220339,-0.525423729,-0.559322034,-1,-1,-1,-1,1
-0.559322034,-0.593220339,-0.525423729,-1,-1,-1,-1,1
-0.559322034,-0.525423729,-0.593220339,-1,-1,-1,-1,1
-0.525423729,-0.593220339,-0.559322034,-1,-1,-1,-1,1
-0.525423729,-0.559322034,-0.593220339,-1,-1,-1,-1,1
