  point x,  point y
-0.967741935,-0.591754019
-0.967548387,-0.591177091
-0.967354839,-0.590599566
-0.96716129,-0.59002144
-0.966967742,-0.589442714
-0.966774194,-0.588863389
-0.966580645,-0.588283461
-0.966387097,-0.587702931
-0.966193548,-0.5871218
-0.966,-0.586540069
-0.965806452,-0.585957731
-0.965612903,-0.585374794
-0.965419355,-0.584791251
-0.965225806,-0.584207107
-0.965032258,-0.583622358
-0.96483871,-0.583037004
-0.964645161,-0.582451046
-0.964451613,-0.581864482
-0.964258065,-0.581277314
-0.964064516,-0.580689539
-0.963870968,-0.580101158
-0.963677419,-0.579512171
-0.963483871,-0.578922577
-0.963290323,-0.578332375
-0.963096774,-0.577741568
-0.962903226,-0.57715015
-0.962709677,-0.576558126
-0.962516129,-0.575965491
-0.962322581,-0.575372248
-0.962129032,-0.574778396
-0.961935484,-0.574183933
-0.961741935,-0.573588861
-0.961548387,-0.572993179
-0.961354839,-0.572396886
-0.96116129,-0.571799981
-0.960967742,-0.571202465
-0.960774194,-0.570604335
-0.960580645,-0.570005594
-0.960387097,-0.569406242
-0.960193548,-0.568806276
-0.96,-0.568205695
-0.959806452,-0.567604503
-0.959612903,-0.567002695
-0.959419355,-0.566400274
-0.959225806,-0.565797238
-0.959032258,-0.565193587
-0.95883871,-0.564589318
-0.958645161,-0.563984436
-0.958451613,-0.563378937
-0.958258065,-0.562772821
-0.958064516,-0.562166088
-0.957870968,-0.561558739
-0.957677419,-0.560950771
-0.957483871,-0.560342187
-0.957290323,-0.559732983
-0.957096774,-0.55912316
-0.956903226,-0.558512718
-0.956709677,-0.557901657
-0.956516129,-0.557289977
-0.956322581,-0.556677676
-0.956129032,-0.556064756
-0.955935484,-0.555451215
-0.955741935,-0.554837051
-0.955548387,-0.554222267
-0.955354839,-0.553606861
-0.95516129,-0.552990834
-0.954967742,-0.552374183
-0.954774194,-0.551756909
-0.954580645,-0.551139013
-0.954387097,-0.550520493
-0.954193548,-0.549901349
-0.954,-0.549281581
-0.953806452,-0.548661187
-0.953612903,-0.54804017
-0.953419355,-0.547418528
-0.953225806,-0.546796259
-0.953032258,-0.546173364
-0.95283871,-0.545549842
-0.952645161,-0.544925695
-0.952451613,-0.544300922
-0.952258065,-0.54367552
-0.952064516,-0.54304949
-0.951870968,-0.542422832
-0.951677419,-0.541795547
-0.951483871,-0.541167632
-0.951290323,-0.54053909
-0.951096774,-0.539909916
-0.950903226,-0.539280114
-0.950709677,-0.538649682
-0.950516129,-0.538018619
-0.950322581,-0.537386926
-0.950129032,-0.5367546
-0.949935484,-0.536121646
-0.949741935,-0.535488057
-0.949548387,-0.534853838
-0.949354839,-0.534218987
-0.94916129,-0.533583501
-0.948967742,-0.532947383
-0.948774194,-0.532310632
-0.948580645,-0.531673248
-0.948387097,-0.531035229
-0.948193548,-0.530396575
-0.948,-0.529757288
-0.947806452,-0.529117364
-0.947612903,-0.528476806
-0.947419355,-0.527835611
-0.947225806,-0.527193783
-0.947032258,-0.526551316
-0.94683871,-0.525908213
-0.946645161,-0.525264472
-0.946451613,-0.524620095
-0.946258065,-0.52397508
-0.946064516,-0.523329427
-0.945870968,-0.522683135
-0.945677419,-0.522036206
-0.945483871,-0.521388638
-0.945290323,-0.520740429
