,,,Normalized sliding windows,,,,,,,
-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143
-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.285714286
-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429
-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429,0
-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429,0,0
-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429,0,0,-0.085714286
-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429,0,0,-0.085714286,-0.2
-0.771428571,-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429,0,0,-0.085714286,-0.2,0.028571429
-0.742857143,-0.714285714,-0.342857143,-0.342857143,-0.228571429,0,0,-0.085714286,-0.2,0.028571429,0.057142857
-0.714285714,-0.342857143,-0.342857143,-0.228571429,0,0,-0.085714286,-0.2,0.028571429,0.057142857,0.342857143
-0.342857143,-0.342857143,-0.228571429,0,0,-0.085714286,-0.2,0.028571429,0.057142857,0.342857143,-0.228571429
-0.342857143,-0.228571429,0,0,-0.085714286,-0.2,0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714
-0.228571429,0,0,-0.085714286,-0.2,0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6
0,0,-0.085714286,-0.2,0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714
0,-0.085714286,-0.2,0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8
-0.085714286,-0.2,0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714
-0.2,0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714
0.028571429,0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714
0.057142857,0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714
0.342857143,-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714
-0.228571429,-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714
-0.314285714,-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4
-0.6,-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571
-0.714285714,-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143
-0.8,-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143
-0.914285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714
-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143
-0.714285714,-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143
-0.714285714,-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286
-0.714285714,-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286
-0.714285714,-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571
-0.4,-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4
-0.171428571,-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143
-0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286
0.142857143,0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286
0.714285714,0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143
0.142857143,0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429
0.142857143,-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857
-0.285714286,-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857
-0.285714286,-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286
-0.371428571,-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6
-0.4,-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714
-0.542857143,-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714
-0.485714286,-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714
-0.485714286,-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857
-0.742857143,-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714
-0.828571429,-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571
-0.857142857,-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143
-0.857142857,-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714
-0.685714286,-0.6,-0.714285714,-0.714285714,-0.714285714,-0.857142857,-0.914285714,-0.771428571,-0.742857143,-0.714285714,-0.342857143
